question_id,question__title,Difficulity,title_slug
99,Recover Binary Search Tree,2,recover-binary-search-tree
100,Same Tree,1,same-tree
101,Symmetric Tree,1,symmetric-tree
102,Binary Tree Level Order Traversal,2,binary-tree-level-order-traversal
103,Binary Tree Zigzag Level Order Traversal,2,binary-tree-zigzag-level-order-traversal
104,Maximum Depth of Binary Tree,1,maximum-depth-of-binary-tree
105,Construct Binary Tree from Preorder and Inorder Traversal,2,construct-binary-tree-from-preorder-and-inorder-traversal
106,Construct Binary Tree from Inorder and Postorder Traversal,2,construct-binary-tree-from-inorder-and-postorder-traversal
107,Binary Tree Level Order Traversal II,2,binary-tree-level-order-traversal-ii
108,Convert Sorted Array to Binary Search Tree,1,convert-sorted-array-to-binary-search-tree
109,Convert Sorted List to Binary Search Tree,2,convert-sorted-list-to-binary-search-tree
110,Balanced Binary Tree,1,balanced-binary-tree
111,Minimum Depth of Binary Tree,1,minimum-depth-of-binary-tree
112,Path Sum,1,path-sum
113,Path Sum II,2,path-sum-ii
114,Flatten Binary Tree to Linked List,2,flatten-binary-tree-to-linked-list
115,Distinct Subsequences,3,distinct-subsequences
116,Populating Next Right Pointers in Each Node,2,populating-next-right-pointers-in-each-node
117,Populating Next Right Pointers in Each Node II,2,populating-next-right-pointers-in-each-node-ii
118,Pascal's Triangle,1,pascals-triangle
119,Pascal's Triangle II,1,pascals-triangle-ii
120,Triangle,2,triangle
121,Best Time to Buy and Sell Stock,1,best-time-to-buy-and-sell-stock
122,Best Time to Buy and Sell Stock II,2,best-time-to-buy-and-sell-stock-ii
123,Best Time to Buy and Sell Stock III,3,best-time-to-buy-and-sell-stock-iii
124,Binary Tree Maximum Path Sum,3,binary-tree-maximum-path-sum
125,Valid Palindrome,1,valid-palindrome
126,Word Ladder II,3,word-ladder-ii
127,Word Ladder,3,word-ladder
128,Longest Consecutive Sequence,2,longest-consecutive-sequence
129,Sum Root to Leaf Numbers,2,sum-root-to-leaf-numbers
130,Surrounded Regions,2,surrounded-regions
131,Palindrome Partitioning,2,palindrome-partitioning
132,Palindrome Partitioning II,3,palindrome-partitioning-ii
133,Clone Graph,2,clone-graph
134,Gas Station,2,gas-station
135,Candy,3,candy
136,Single Number,1,single-number
137,Single Number II,2,single-number-ii
138,Copy List with Random Pointer,2,copy-list-with-random-pointer
139,Word Break,2,word-break
140,Word Break II,3,word-break-ii
141,Linked List Cycle,1,linked-list-cycle
142,Linked List Cycle II,2,linked-list-cycle-ii
143,Reorder List,2,reorder-list
144,Binary Tree Preorder Traversal,1,binary-tree-preorder-traversal
145,Binary Tree Postorder Traversal,1,binary-tree-postorder-traversal
146,LRU Cache,2,lru-cache
147,Insertion Sort List,2,insertion-sort-list
148,Sort List,2,sort-list
149,Max Points on a Line,3,max-points-on-a-line
150,Evaluate Reverse Polish Notation,2,evaluate-reverse-polish-notation
151,Reverse Words in a String,2,reverse-words-in-a-string
152,Maximum Product Subarray,2,maximum-product-subarray
153,Find Minimum in Rotated Sorted Array,2,find-minimum-in-rotated-sorted-array
154,Find Minimum in Rotated Sorted Array II,3,find-minimum-in-rotated-sorted-array-ii
155,Min Stack,2,min-stack
156,Binary Tree Upside Down,2,binary-tree-upside-down
157,Read N Characters Given Read4,1,read-n-characters-given-read4
158,Read N Characters Given read4 II - Call Multiple Times,3,read-n-characters-given-read4-ii-call-multiple-times
159,Longest Substring with At Most Two Distinct Characters,2,longest-substring-with-at-most-two-distinct-characters
160,Intersection of Two Linked Lists,1,intersection-of-two-linked-lists
161,One Edit Distance,2,one-edit-distance
162,Find Peak Element,2,find-peak-element
163,Missing Ranges,1,missing-ranges
164,Maximum Gap,2,maximum-gap
165,Compare Version Numbers,2,compare-version-numbers
166,Fraction to Recurring Decimal,2,fraction-to-recurring-decimal
167,Two Sum II - Input Array Is Sorted,2,two-sum-ii-input-array-is-sorted
168,Excel Sheet Column Title,1,excel-sheet-column-title
169,Majority Element,1,majority-element
170,Two Sum III - Data structure design,1,two-sum-iii-data-structure-design
171,Excel Sheet Column Number,1,excel-sheet-column-number
172,Factorial Trailing Zeroes,2,factorial-trailing-zeroes
173,Binary Search Tree Iterator,2,binary-search-tree-iterator
174,Dungeon Game,3,dungeon-game
175,Combine Two Tables,1,combine-two-tables
176,Second Highest Salary,2,second-highest-salary
177,Nth Highest Salary,2,nth-highest-salary
178,Rank Scores,2,rank-scores
179,Largest Number,2,largest-number
180,Consecutive Numbers,2,consecutive-numbers
181,Employees Earning More Than Their Managers,1,employees-earning-more-than-their-managers
182,Duplicate Emails,1,duplicate-emails
183,Customers Who Never Order,1,customers-who-never-order
184,Department Highest Salary,2,department-highest-salary
185,Department Top Three Salaries,3,department-top-three-salaries
186,Reverse Words in a String II,2,reverse-words-in-a-string-ii
187,Repeated DNA Sequences,2,repeated-dna-sequences
188,Best Time to Buy and Sell Stock IV,3,best-time-to-buy-and-sell-stock-iv
189,Rotate Array,2,rotate-array
190,Reverse Bits,1,reverse-bits
191,Number of 1 Bits,1,number-of-1-bits
192,Word Frequency,2,word-frequency
193,Valid Phone Numbers,1,valid-phone-numbers
194,Transpose File,2,transpose-file
195,Tenth Line,1,tenth-line
196,Delete Duplicate Emails,1,delete-duplicate-emails
197,Rising Temperature,1,rising-temperature
198,House Robber,2,house-robber
199,Binary Tree Right Side View,2,binary-tree-right-side-view
200,Number of Islands,2,number-of-islands
201,Bitwise AND of Numbers Range,2,bitwise-and-of-numbers-range
202,Happy Number,1,happy-number
203,Remove Linked List Elements,1,remove-linked-list-elements
204,Count Primes,2,count-primes
205,Isomorphic Strings,1,isomorphic-strings
206,Reverse Linked List,1,reverse-linked-list
207,Course Schedule,2,course-schedule
208,Implement Trie (Prefix Tree),2,implement-trie-prefix-tree
209,Minimum Size Subarray Sum,2,minimum-size-subarray-sum
210,Course Schedule II,2,course-schedule-ii
211,Design Add and Search Words Data Structure,2,design-add-and-search-words-data-structure
212,Word Search II,3,word-search-ii
213,House Robber II,2,house-robber-ii
214,Shortest Palindrome,3,shortest-palindrome
215,Kth Largest Element in an Array,2,kth-largest-element-in-an-array
216,Combination Sum III,2,combination-sum-iii
217,Contains Duplicate,1,contains-duplicate
218,The Skyline Problem,3,the-skyline-problem
219,Contains Duplicate II,1,contains-duplicate-ii
220,Contains Duplicate III,3,contains-duplicate-iii
221,Maximal Square,2,maximal-square
222,Count Complete Tree Nodes,1,count-complete-tree-nodes
223,Rectangle Area,2,rectangle-area
224,Basic Calculator,3,basic-calculator
225,Implement Stack using Queues,1,implement-stack-using-queues
226,Invert Binary Tree,1,invert-binary-tree
227,Basic Calculator II,2,basic-calculator-ii
228,Summary Ranges,1,summary-ranges
229,Majority Element II,2,majority-element-ii
230,Kth Smallest Element in a BST,2,kth-smallest-element-in-a-bst
231,Power of Two,1,power-of-two
232,Implement Queue using Stacks,1,implement-queue-using-stacks
233,Number of Digit One,3,number-of-digit-one
234,Palindrome Linked List,1,palindrome-linked-list
235,Lowest Common Ancestor of a Binary Search Tree,2,lowest-common-ancestor-of-a-binary-search-tree
236,Lowest Common Ancestor of a Binary Tree,2,lowest-common-ancestor-of-a-binary-tree
237,Delete Node in a Linked List,2,delete-node-in-a-linked-list
238,Product of Array Except Self,2,product-of-array-except-self
239,Sliding Window Maximum,3,sliding-window-maximum
240,Search a 2D Matrix II,2,search-a-2d-matrix-ii
241,Different Ways to Add Parentheses,2,different-ways-to-add-parentheses
242,Valid Anagram,1,valid-anagram
243,Shortest Word Distance,1,shortest-word-distance
244,Shortest Word Distance II,2,shortest-word-distance-ii
245,Shortest Word Distance III,2,shortest-word-distance-iii
246,Strobogrammatic Number,1,strobogrammatic-number
247,Strobogrammatic Number II,2,strobogrammatic-number-ii
248,Strobogrammatic Number III,3,strobogrammatic-number-iii
249,Group Shifted Strings,2,group-shifted-strings
250,Count Univalue Subtrees,2,count-univalue-subtrees
251,Flatten 2D Vector,2,flatten-2d-vector
252,Meeting Rooms,1,meeting-rooms
253,Meeting Rooms II,2,meeting-rooms-ii
254,Factor Combinations,2,factor-combinations
255,Verify Preorder Sequence in Binary Search Tree,2,verify-preorder-sequence-in-binary-search-tree
256,Paint House,2,paint-house
257,Binary Tree Paths,1,binary-tree-paths
258,Add Digits,1,add-digits
259,3Sum Smaller,2,3sum-smaller
260,Single Number III,2,single-number-iii
261,Graph Valid Tree,2,graph-valid-tree
262,Trips and Users,3,trips-and-users
263,Ugly Number,1,ugly-number
264,Ugly Number II,2,ugly-number-ii
265,Paint House II,3,paint-house-ii
266,Palindrome Permutation,1,palindrome-permutation
267,Palindrome Permutation II,2,palindrome-permutation-ii
268,Missing Number,1,missing-number
269,Alien Dictionary,3,alien-dictionary
270,Closest Binary Search Tree Value,1,closest-binary-search-tree-value
271,Encode and Decode Strings,2,encode-and-decode-strings
272,Closest Binary Search Tree Value II,3,closest-binary-search-tree-value-ii
273,Integer to English Words,3,integer-to-english-words
274,H-Index,2,h-index
275,H-Index II,2,h-index-ii
276,Paint Fence,2,paint-fence
277,Find the Celebrity,2,find-the-celebrity
278,First Bad Version,1,first-bad-version
279,Perfect Squares,2,perfect-squares
280,Wiggle Sort,2,wiggle-sort
281,Zigzag Iterator,2,zigzag-iterator
282,Expression Add Operators,3,expression-add-operators
283,Move Zeroes,1,move-zeroes
284,Peeking Iterator,2,peeking-iterator
285,Inorder Successor in BST,2,inorder-successor-in-bst
286,Walls and Gates,2,walls-and-gates
287,Find the Duplicate Number,2,find-the-duplicate-number
288,Unique Word Abbreviation,2,unique-word-abbreviation
289,Game of Life,2,game-of-life
290,Word Pattern,1,word-pattern
291,Word Pattern II,2,word-pattern-ii
292,Nim Game,1,nim-game
293,Flip Game,1,flip-game
294,Flip Game II,2,flip-game-ii
295,Find Median from Data Stream,3,find-median-from-data-stream
296,Best Meeting Point,3,best-meeting-point
297,Serialize and Deserialize Binary Tree,3,serialize-and-deserialize-binary-tree
298,Binary Tree Longest Consecutive Sequence,2,binary-tree-longest-consecutive-sequence
299,Bulls and Cows,2,bulls-and-cows
300,Longest Increasing Subsequence,2,longest-increasing-subsequence
301,Remove Invalid Parentheses,3,remove-invalid-parentheses
302,Smallest Rectangle Enclosing Black Pixels,3,smallest-rectangle-enclosing-black-pixels
303,Range Sum Query - Immutable,1,range-sum-query-immutable
304,Range Sum Query 2D - Immutable,2,range-sum-query-2d-immutable
305,Number of Islands II,3,number-of-islands-ii
306,Additive Number,2,additive-number
307,Range Sum Query - Mutable,2,range-sum-query-mutable
308,Range Sum Query 2D - Mutable,3,range-sum-query-2d-mutable
309,Best Time to Buy and Sell Stock with Cooldown,2,best-time-to-buy-and-sell-stock-with-cooldown
310,Minimum Height Trees,2,minimum-height-trees
311,Sparse Matrix Multiplication,2,sparse-matrix-multiplication
312,Burst Balloons,3,burst-balloons
313,Super Ugly Number,2,super-ugly-number
314,Binary Tree Vertical Order Traversal,2,binary-tree-vertical-order-traversal
315,Count of Smaller Numbers After Self,3,count-of-smaller-numbers-after-self
316,Remove Duplicate Letters,2,remove-duplicate-letters
317,Shortest Distance from All Buildings,3,shortest-distance-from-all-buildings
318,Maximum Product of Word Lengths,2,maximum-product-of-word-lengths
319,Bulb Switcher,2,bulb-switcher
320,Generalized Abbreviation,2,generalized-abbreviation
321,Create Maximum Number,3,create-maximum-number
322,Coin Change,2,coin-change
323,Number of Connected Components in an Undirected Graph,2,number-of-connected-components-in-an-undirected-graph
324,Wiggle Sort II,2,wiggle-sort-ii
325,Maximum Size Subarray Sum Equals k,2,maximum-size-subarray-sum-equals-k
326,Power of Three,1,power-of-three
327,Count of Range Sum,3,count-of-range-sum
328,Odd Even Linked List,2,odd-even-linked-list
329,Longest Increasing Path in a Matrix,3,longest-increasing-path-in-a-matrix
330,Patching Array,3,patching-array
331,Verify Preorder Serialization of a Binary Tree,2,verify-preorder-serialization-of-a-binary-tree
332,Reconstruct Itinerary,3,reconstruct-itinerary
333,Largest BST Subtree,2,largest-bst-subtree
334,Increasing Triplet Subsequence,2,increasing-triplet-subsequence
335,Self Crossing,3,self-crossing
336,Palindrome Pairs,3,palindrome-pairs
337,House Robber III,2,house-robber-iii
338,Counting Bits,1,counting-bits
339,Nested List Weight Sum,2,nested-list-weight-sum
340,Longest Substring with At Most K Distinct Characters,2,longest-substring-with-at-most-k-distinct-characters
341,Flatten Nested List Iterator,2,flatten-nested-list-iterator
342,Power of Four,1,power-of-four
343,Integer Break,2,integer-break
344,Reverse String,1,reverse-string
345,Reverse Vowels of a String,1,reverse-vowels-of-a-string
346,Moving Average from Data Stream,1,moving-average-from-data-stream
347,Top K Frequent Elements,2,top-k-frequent-elements
348,Design Tic-Tac-Toe,2,design-tic-tac-toe
349,Intersection of Two Arrays,1,intersection-of-two-arrays
350,Intersection of Two Arrays II,1,intersection-of-two-arrays-ii
351,Android Unlock Patterns,2,android-unlock-patterns
352,Data Stream as Disjoint Intervals,3,data-stream-as-disjoint-intervals
353,Design Snake Game,2,design-snake-game
354,Russian Doll Envelopes,3,russian-doll-envelopes
355,Design Twitter,2,design-twitter
356,Line Reflection,2,line-reflection
357,Count Numbers with Unique Digits,2,count-numbers-with-unique-digits
358,Rearrange String k Distance Apart,3,rearrange-string-k-distance-apart
359,Logger Rate Limiter,1,logger-rate-limiter
360,Sort Transformed Array,2,sort-transformed-array
361,Bomb Enemy,2,bomb-enemy
362,Design Hit Counter,2,design-hit-counter
363,Max Sum of Rectangle No Larger Than K,3,max-sum-of-rectangle-no-larger-than-k
364,Nested List Weight Sum II,2,nested-list-weight-sum-ii
365,Water and Jug Problem,2,water-and-jug-problem
366,Find Leaves of Binary Tree,2,find-leaves-of-binary-tree
367,Valid Perfect Square,1,valid-perfect-square
368,Largest Divisible Subset,2,largest-divisible-subset
369,Plus One Linked List,2,plus-one-linked-list
370,Range Addition,2,range-addition
371,Sum of Two Integers,2,sum-of-two-integers
372,Super Pow,2,super-pow
373,Find K Pairs with Smallest Sums,2,find-k-pairs-with-smallest-sums
374,Guess Number Higher or Lower,1,guess-number-higher-or-lower
375,Guess Number Higher or Lower II,2,guess-number-higher-or-lower-ii
376,Wiggle Subsequence,2,wiggle-subsequence
377,Combination Sum IV,2,combination-sum-iv
378,Kth Smallest Element in a Sorted Matrix,2,kth-smallest-element-in-a-sorted-matrix
379,Design Phone Directory,2,design-phone-directory
380,Insert Delete GetRandom O(1),2,insert-delete-getrandom-o1
381,Insert Delete GetRandom O(1) - Duplicates allowed,3,insert-delete-getrandom-o1-duplicates-allowed
382,Linked List Random Node,2,linked-list-random-node
383,Ransom Note,1,ransom-note
384,Shuffle an Array,2,shuffle-an-array
385,Mini Parser,2,mini-parser
386,Lexicographical Numbers,2,lexicographical-numbers
387,First Unique Character in a String,1,first-unique-character-in-a-string
388,Longest Absolute File Path,2,longest-absolute-file-path
389,Find the Difference,1,find-the-difference
390,Elimination Game,2,elimination-game
391,Perfect Rectangle,3,perfect-rectangle
392,Is Subsequence,1,is-subsequence
393,UTF-8 Validation,2,utf-8-validation
394,Decode String,2,decode-string
395,Longest Substring with At Least K Repeating Characters,2,longest-substring-with-at-least-k-repeating-characters
396,Rotate Function,2,rotate-function
397,Integer Replacement,2,integer-replacement
398,Random Pick Index,2,random-pick-index
399,Evaluate Division,2,evaluate-division
400,Nth Digit,2,nth-digit
401,Binary Watch,1,binary-watch
402,Remove K Digits,2,remove-k-digits
403,Frog Jump,3,frog-jump
404,Sum of Left Leaves,1,sum-of-left-leaves
405,Convert a Number to Hexadecimal,1,convert-a-number-to-hexadecimal
406,Queue Reconstruction by Height,2,queue-reconstruction-by-height
407,Trapping Rain Water II,3,trapping-rain-water-ii
408,Valid Word Abbreviation,1,valid-word-abbreviation
409,Longest Palindrome,1,longest-palindrome
410,Split Array Largest Sum,3,split-array-largest-sum
411,Minimum Unique Word Abbreviation,3,minimum-unique-word-abbreviation
412,Fizz Buzz,1,fizz-buzz
413,Arithmetic Slices,2,arithmetic-slices
414,Third Maximum Number,1,third-maximum-number
415,Add Strings,1,add-strings
416,Partition Equal Subset Sum,2,partition-equal-subset-sum
417,Pacific Atlantic Water Flow,2,pacific-atlantic-water-flow
418,Sentence Screen Fitting,2,sentence-screen-fitting
419,Battleships in a Board,2,battleships-in-a-board
420,Strong Password Checker,3,strong-password-checker
421,Maximum XOR of Two Numbers in an Array,2,maximum-xor-of-two-numbers-in-an-array
422,Valid Word Square,1,valid-word-square
423,Reconstruct Original Digits from English,2,reconstruct-original-digits-from-english
424,Longest Repeating Character Replacement,2,longest-repeating-character-replacement
425,Word Squares,3,word-squares
432,All O`one Data Structure,3,all-oone-data-structure
433,Minimum Genetic Mutation,2,minimum-genetic-mutation
434,Number of Segments in a String,1,number-of-segments-in-a-string
435,Non-overlapping Intervals,2,non-overlapping-intervals
436,Find Right Interval,2,find-right-interval
437,Path Sum III,2,path-sum-iii
438,Find All Anagrams in a String,2,find-all-anagrams-in-a-string
439,Ternary Expression Parser,2,ternary-expression-parser
440,K-th Smallest in Lexicographical Order,3,k-th-smallest-in-lexicographical-order
441,Arranging Coins,1,arranging-coins
442,Find All Duplicates in an Array,2,find-all-duplicates-in-an-array
443,String Compression,2,string-compression
444,Sequence Reconstruction,2,sequence-reconstruction
445,Add Two Numbers II,2,add-two-numbers-ii
446,Arithmetic Slices II - Subsequence,3,arithmetic-slices-ii-subsequence
447,Number of Boomerangs,2,number-of-boomerangs
448,Find All Numbers Disappeared in an Array,1,find-all-numbers-disappeared-in-an-array
449,Serialize and Deserialize BST,2,serialize-and-deserialize-bst
450,Delete Node in a BST,2,delete-node-in-a-bst
451,Sort Characters By Frequency,2,sort-characters-by-frequency
452,Minimum Number of Arrows to Burst Balloons,2,minimum-number-of-arrows-to-burst-balloons
453,Minimum Moves to Equal Array Elements,2,minimum-moves-to-equal-array-elements
454,4Sum II,2,4sum-ii
455,Assign Cookies,1,assign-cookies
456,132 Pattern,2,132-pattern
457,Circular Array Loop,2,circular-array-loop
458,Poor Pigs,3,poor-pigs
459,Repeated Substring Pattern,1,repeated-substring-pattern
460,LFU Cache,3,lfu-cache
461,Hamming Distance,1,hamming-distance
462,Minimum Moves to Equal Array Elements II,2,minimum-moves-to-equal-array-elements-ii
463,Island Perimeter,1,island-perimeter
464,Can I Win,2,can-i-win
465,Optimal Account Balancing,3,optimal-account-balancing
466,Count The Repetitions,3,count-the-repetitions
467,Unique Substrings in Wraparound String,2,unique-substrings-in-wraparound-string
468,Validate IP Address,2,validate-ip-address
469,Convex Polygon,2,convex-polygon
471,Encode String with Shortest Length,3,encode-string-with-shortest-length
472,Concatenated Words,3,concatenated-words
473,Matchsticks to Square,2,matchsticks-to-square
474,Ones and Zeroes,2,ones-and-zeroes
475,Heaters,2,heaters
476,Number Complement,1,number-complement
477,Total Hamming Distance,2,total-hamming-distance
479,Largest Palindrome Product,3,largest-palindrome-product
480,Sliding Window Median,3,sliding-window-median
481,Magical String,2,magical-string
482,License Key Formatting,1,license-key-formatting
483,Smallest Good Base,3,smallest-good-base
484,Find Permutation,2,find-permutation
485,Max Consecutive Ones,1,max-consecutive-ones
486,Predict the Winner,2,predict-the-winner
487,Max Consecutive Ones II,2,max-consecutive-ones-ii
488,Zuma Game,3,zuma-game
489,Kth Smallest Instructions,3,kth-smallest-instructions
490,The Maze,2,the-maze
491,Non-decreasing Subsequences,2,non-decreasing-subsequences
492,Construct the Rectangle,1,construct-the-rectangle
493,Reverse Pairs,3,reverse-pairs
494,Target Sum,2,target-sum
495,Teemo Attacking,1,teemo-attacking
496,Next Greater Element I,1,next-greater-element-i
498,Diagonal Traverse,2,diagonal-traverse
499,The Maze III,3,the-maze-iii
500,Keyboard Row,1,keyboard-row
501,Find Mode in Binary Search Tree,1,find-mode-in-binary-search-tree
502,IPO,3,ipo
503,Next Greater Element II,2,next-greater-element-ii
504,Base 7,1,base-7
505,The Maze II,2,the-maze-ii
506,Relative Ranks,1,relative-ranks
507,Perfect Number,1,perfect-number
508,Most Frequent Subtree Sum,2,most-frequent-subtree-sum
509,Inorder Successor in BST II,2,inorder-successor-in-bst-ii
510,Count Subarrays With More Ones Than Zeros,2,count-subarrays-with-more-ones-than-zeros
511,All Paths from Source Lead to Destination,2,all-paths-from-source-lead-to-destination
512,Maximum Alternating Subarray Sum,2,maximum-alternating-subarray-sum
513,Find Bottom Left Tree Value,2,find-bottom-left-tree-value
514,Freedom Trail,3,freedom-trail
515,Find Largest Value in Each Tree Row,2,find-largest-value-in-each-tree-row
516,Longest Palindromic Subsequence,2,longest-palindromic-subsequence
517,Super Washing Machines,3,super-washing-machines
518,Coin Change II,2,coin-change-ii
519,Widest Pair of Indices With Equal Range Sum,2,widest-pair-of-indices-with-equal-range-sum
520,Detect Capital,1,detect-capital
521,Longest Uncommon Subsequence I,1,longest-uncommon-subsequence-i
522,Longest Uncommon Subsequence II,2,longest-uncommon-subsequence-ii
523,Continuous Subarray Sum,2,continuous-subarray-sum
524,Longest Word in Dictionary through Deleting,2,longest-word-in-dictionary-through-deleting
525,Contiguous Array,2,contiguous-array
526,Beautiful Arrangement,2,beautiful-arrangement
527,Word Abbreviation,3,word-abbreviation
528,Swapping Nodes in a Linked List,2,swapping-nodes-in-a-linked-list
529,Minesweeper,2,minesweeper
530,Minimum Absolute Difference in BST,1,minimum-absolute-difference-in-bst
531,Lonely Pixel I,2,lonely-pixel-i
532,K-diff Pairs in an Array,2,k-diff-pairs-in-an-array
533,Lonely Pixel II,2,lonely-pixel-ii
535,Encode and Decode TinyURL,2,encode-and-decode-tinyurl
536,Construct Binary Tree from String,2,construct-binary-tree-from-string
537,Complex Number Multiplication,2,complex-number-multiplication
538,Convert BST to Greater Tree,2,convert-bst-to-greater-tree
539,Minimum Time Difference,2,minimum-time-difference
540,Single Element in a Sorted Array,2,single-element-in-a-sorted-array
541,Reverse String II,1,reverse-string-ii
542,01 Matrix,2,01-matrix
543,Diameter of Binary Tree,1,diameter-of-binary-tree
544,Output Contest Matches,2,output-contest-matches
545,Boundary of Binary Tree,2,boundary-of-binary-tree
546,Remove Boxes,3,remove-boxes
547,Number of Provinces,2,number-of-provinces
548,Split Array with Equal Sum,3,split-array-with-equal-sum
549,Binary Tree Longest Consecutive Sequence II,2,binary-tree-longest-consecutive-sequence-ii
550,Shortest Path to Get Food,2,shortest-path-to-get-food
551,Student Attendance Record I,1,student-attendance-record-i
552,Student Attendance Record II,3,student-attendance-record-ii
553,Optimal Division,2,optimal-division
554,Brick Wall,2,brick-wall
555,Split Concatenated Strings,2,split-concatenated-strings
556,Next Greater Element III,2,next-greater-element-iii
557,Reverse Words in a String III,1,reverse-words-in-a-string-iii
560,Subarray Sum Equals K,2,subarray-sum-equals-k
561,Array Partition,1,array-partition
562,Longest Line of Consecutive One in Matrix,2,longest-line-of-consecutive-one-in-matrix
563,Binary Tree Tilt,1,binary-tree-tilt
564,Find the Closest Palindrome,3,find-the-closest-palindrome
565,Array Nesting,2,array-nesting
566,Reshape the Matrix,1,reshape-the-matrix
567,Permutation in String,2,permutation-in-string
568,Maximum Vacation Days,3,maximum-vacation-days
569,Median Employee Salary,3,median-employee-salary
570,Managers with at Least 5 Direct Reports,2,managers-with-at-least-5-direct-reports
571,Find Median Given Frequency of Numbers,3,find-median-given-frequency-of-numbers
572,Subtree of Another Tree,1,subtree-of-another-tree
573,Squirrel Simulation,2,squirrel-simulation
574,Winning Candidate,2,winning-candidate
575,Distribute Candies,1,distribute-candies
